,E_pca,M_pca
2003-02,4.076715578974868,-2.8448157836676735
2003-03,3.1298733176976885,-2.8461346200594346
2003-04,2.97206924213961,-2.280960890218983
2003-05,2.6467786165066927,-2.677528276393163
2003-06,3.5508887581338184,-3.2805125953071927
2003-07,4.555129427313536,-3.959304728362337
2003-08,4.188652218561241,-3.907456818486084
2003-09,2.7754150299179368,-2.780425286435636
2003-10,1.835301787731772,-2.278540895457181
2003-11,1.7722569455153643,-1.0522925265067609
2003-12,1.687035697451052,-1.208914416191275
2004-01,-0.14139065679618146,0.23043457917275068
2004-02,-1.6047743046501672,0.4978859196481652
2004-03,0.21393562779226633,0.34758774402812426
2004-04,-1.2910861293323324,1.58210190760638
2004-05,-2.1321323499240843,2.1962933599430094
2004-06,-3.1948195334512404,2.73491884094701
2004-07,-4.705109964793814,3.6798423048228335
2004-08,-6.668286955678361,4.923547920286799
2004-09,-6.212517635914617,4.691423340682869
2004-10,-6.605943098942797,4.2125005921319625
2004-11,-7.772972588031225,5.206531930019562
2004-12,-5.926065539478552,3.944046865838466
2005-01,-4.5557389696962005,2.591819504876767
2005-02,-2.8630441804321154,1.7251231673467133
2005-03,-4.073857961857186,1.1682408605201915
2005-04,-3.974657999115634,0.7200365048294969
2005-05,-2.923761653576488,-0.018856405309194968
2005-06,-2.2658684731292387,-0.20815156719543418
2005-07,-0.6353613885257898,-1.037328269466146
2005-08,-0.8713609521891266,-0.7283830909202076
2005-09,0.02076712491953403,-1.3694282978949683
2005-10,0.6901266190745168,-2.048919258793539
2005-11,0.36471833422762057,-1.8722378899531824
2005-12,0.7210125904124172,-1.9609844238520542
2006-01,0.6071061207955106,-2.054652741241079
2006-02,0.15634743951237695,-2.157141388198723
2006-03,1.3495408982921433,-2.6013440924357596
2006-04,1.41325643111435,-2.536504885343432
2006-05,1.1672943479588953,-2.366276423822051
2006-06,0.8410347408447914,-1.6761159351996007
2006-07,-0.05083629569720438,-0.993856027211657
2006-08,0.8857261246949288,-1.1478502841396723
2006-09,1.4702691821438427,-1.554693089814001
2006-10,1.4251487641643112,-1.4020925759137968
2006-11,1.5781223630433678,-1.339573162626415
2006-12,1.6207715053068377,-1.1832394909145367
2007-01,1.466013006690055,-0.7182603498523803
2007-02,2.4779641625551108,-0.6241426091543834
2007-03,1.9764639533407138,0.036439196094633475
2007-04,1.0085241365182551,0.5210461341256869
2007-05,0.039327543255118114,1.405637400123659
2007-06,-1.2445396888859652,2.24914346972993
2007-07,-0.979957701777501,2.493163780279014
2007-08,-1.2518047926699676,2.748279475197318
2007-09,-1.63934705055871,3.605976210980545
2007-10,-2.1092944175435404,3.610485751269924
2007-11,-2.598482626344893,3.781917625545387
2007-12,-3.242709746486425,4.318042243343195
2008-01,-3.057990745203229,4.191568072380722
2008-02,-3.863487726955987,4.9305128245213234
2008-03,-4.647142201138612,5.368945610737254
2008-04,-5.352087119347204,5.642564629884589
2008-05,-5.232671757508918,5.715024180603661
2008-06,-6.399381852003452,6.2237131557085466
2008-07,-7.412114322117005,5.771899563665967
2008-08,-6.933470439883073,5.311918944069794
2008-09,-5.919585772598117,3.4594914408993906
2008-10,-3.2839810496121578,0.8311098719412588
2008-11,-1.2708234767762112,-0.7810105913073848
2008-12,1.6161804626611276,-3.702807065779314
2009-01,3.5928291843513804,-4.843891760387953
2009-02,3.940354068992371,-6.100367033597692
2009-03,6.9125754274734454,-7.3718765712551235
2009-04,9.410143807318244,-7.5691276425193825
2009-05,9.760310496050035,-7.69545440155759
2009-06,10.187982986750981,-7.624565721730424
2009-07,11.502776569500547,-7.181724452986165
2009-08,12.091464681481224,-7.069002841957773
2009-09,12.260820431630798,-6.522149960139464
2009-10,10.868254626825909,-4.480593737652279
2009-11,11.001437517358701,-3.539818337404943
2009-12,9.815532533631876,-1.302005451957975
2010-01,7.1831839743846135,0.3532772627658768
2010-02,9.22920189941722,1.1007433638699582
2010-03,6.686498209917816,2.14668118834376
2010-04,5.032458506214108,1.8500307037531794
2010-05,5.553382440757604,1.702862887714046
2010-06,4.508779752910273,1.9321991521220687
2010-07,2.916529062617812,1.6705553327774183
2010-08,2.7343713919530024,1.2479180365553364
2010-09,1.7311165085662665,1.776082563400184
2010-10,0.714555226847319,2.3112807843784147
2010-11,-0.30142110547541456,3.1126804898138656
2010-12,-1.5860168635500114,3.9217923320457015
2011-01,-2.158915461511445,4.279791302253873
2011-02,-5.165525773320515,4.469812862837282
2011-03,-4.862009022256368,4.732752757932165
2011-04,-4.597791047514323,4.719716449919607
2011-05,-5.526009366286074,4.649335549051439
2011-06,-6.104221595423497,4.751884703767204
2011-07,-6.862307934810022,5.412527584550866
2011-08,-7.63391639827264,5.46569136370662
2011-09,-6.08334178228767,4.119299260058987
2011-10,-6.097568719136788,3.6900685741171273
2011-11,-4.689483734844305,2.4924608211963255
2011-12,-2.7644376491301004,0.3718442727750884
2012-01,-2.191188849190382,-0.22161814050608836
2012-02,-4.304269488059839,-0.16527304591203648
2012-03,-2.6893959732056616,-1.1869039407224036
2012-04,-2.802809491919553,-1.0470635348781838
2012-05,-1.9721526099362159,-1.7586412127715494
2012-06,-1.599821633983753,-2.070014850304423
2012-07,-0.43341768291176397,-2.7103262558511236
2012-08,-0.7241038570756198,-2.809903919738704
2012-09,-1.2564820295168135,-2.3889502984981
2012-10,-0.1820266312592116,-2.4908147247535832
2012-11,-0.9619212963679185,-2.1025274829837355
2012-12,-1.71010445250306,-1.5898986251759994
2013-01,-1.4953221455523107,-1.276935209932424
2013-02,2.34279759324177,-1.5595255403105137
2013-03,-0.45728726939571496,-0.9872638461278215
2013-04,1.2650021788952532,-1.8344380041656383
2013-05,1.0821279461422086,-1.7267310980976789
2013-06,0.43478465638273156,-1.8808802372269622
2013-07,-1.0482352900276442,-1.2098723180163389
2013-08,-1.624279787179252,-0.5114096414376288
2013-09,-1.4732710408107261,-0.4969149626229761
2013-10,-3.028933691502562,0.278757118357696
2013-11,-3.359732758186373,0.6235147058315137
2013-12,-3.596415803902839,0.8568492226197268
2014-01,-2.652097781345684,0.50347680349988
2014-02,-5.700937431985707,0.6195469976012525
2014-03,-3.08276090109951,0.5138434380694241
2014-04,-3.9678004356453562,0.3877373422489073
2014-05,-3.1589293185698053,-0.19123513571442852
2014-06,-3.6340504474631987,0.35689669018007697
2014-07,-3.076407431890544,0.7261632928813396
2014-08,-3.9052109143366716,0.6594117529722936
2014-09,-3.4493083810731635,-0.08674812359137707
2014-10,-2.6109184562136445,-0.9027197951997759
2014-11,-2.2447712740560384,-1.5767431431954544
2014-12,-2.276604080944704,-1.7278772492604377
2015-01,-1.528707478033572,-2.2943614547299482
2015-02,2.7485059364576667,-3.436876728373097
2015-03,0.047770901178307845,-2.9881196479531917
2015-04,-0.019327721148041377,-3.4512668584813957
2015-05,0.5242994122537574,-2.86331314389385
2015-06,1.2078199331787536,-2.953008180632408
2015-07,0.8371697497473543,-3.2585327947135014
2015-08,2.0714772593983106,-3.5944715449075835
2015-09,3.1901395911700092,-3.730448668496452
2015-10,4.540174130791006,-4.159725754710443
2015-11,5.628734400059345,-4.4026575754251525
2015-12,6.821717806589193,-4.624488191829497
2016-01,6.254369383197866,-4.246206603486647
2016-02,7.328076057273639,-3.8836152627223037
2016-03,6.396032221558618,-3.225443315097719
2016-04,7.666989556021728,-2.7833790244594336
2016-05,7.6018270974923645,-2.3616634528569453
2016-06,8.094033011904784,-2.5367150102548135
2016-07,8.601818562016014,-2.5126585907234107
2016-08,8.918063929153494,-2.3022816101347097
2016-09,8.667627583746755,-2.1583841397865338
2016-10,7.678714704973938,-1.4080175536966668
2016-11,6.040026197243593,-0.2020071866456008
2016-12,4.1445927083236365,0.8985032954116188
2017-01,2.2937018276307892,2.222075345417066
2017-02,-1.1384202674335178,2.8615765675340827
2017-03,2.2804976579515976,2.131702708821714
2017-04,0.9009652460325164,2.1953172372808183
2017-05,0.3803567568756825,2.3503436505115793
2017-06,-0.07454408990533512,2.2387296383298194
2017-07,-0.9295669434182887,2.36311530011948
2017-08,-0.7384161774729652,2.331450030079901
2017-09,-1.6893239778308917,2.7123609595634086
2017-10,-2.4141783118426963,3.344416540580422
2017-11,-2.839153686869774,3.318899690034285
2017-12,-2.613809544331243,2.8402085010689664
2018-01,-2.4292588649883333,2.6590186998189473
2018-02,-0.39325115965993396,2.1543167835004793
2018-03,-3.371950550825806,2.419661477607182
2018-04,-2.936907497879555,1.7741473786034399
2018-05,-2.9098835193673382,1.6583250133693899
2018-06,-3.1982537847771555,1.470772337547411
2018-07,-2.8922975772044657,1.7475923253126402
2018-08,-3.5727917966354115,1.8169422137193483
2018-09,-4.278314563335693,1.9517422428092128
2018-10,-3.815153702211634,1.7009624411061728
2018-11,-3.612574983454686,1.3142549518593654
2018-12,-3.5107612959382903,0.6332347766411996
2019-01,-2.2233751306408776,-0.4318915362728439
2019-02,-2.4363429702419186,-0.673321691928783
2019-03,-1.7323589201231562,-0.7222041791936291
2019-04,-1.907047984730433,0.2630396745262471
2019-05,-2.5341776086799004,0.23568603572627872
2019-06,-2.1719970825612522,0.13250700030146878
